,,,,All Organs,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart,Lung,Heart / Lung,Intestine,Abdominal Wall,Head & Neck: Craniofacial,GU: Uterus,Upper Limb: Bilateral,Upper Limb: Unilateral,"Face, Scalp"
,,1 Year to < 2 Years,,283,217,59,0,0,11,1,0,0,0,0,0,0,0,0
,,
,,2 Years to < 3 Years,,179,152,24,0,0,3,2,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,209,178,30,0,0,4,0,0,0,0,0,0,0,0,0
,,5 or More Years,,135,107,26,0,0,4,0,0,0,0,0,0,0,0,0
,Texas,All Time,,"1,072",827,233,0,0,33,10,0,0,0,0,0,0,0,0
,,< 30 Days,,23,14,9,0,0,2,2,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,46,24,18,0,0,3,2,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,93,61,30,0,0,3,3,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,111,74,37,0,0,3,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,283,217,59,0,0,11,1,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,179,152,24,0,0,3,2,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,209,178,30,0,0,4,0,0,0,0,0,0,0,0,0
,,5 or More Years,,135,107,26,0,0,4,0,0,0,0,0,0,0,0,0
TXHS-TX1 Methodist Specialty and Transplant Hospital,All Center States,All Time,,"1,704","1,545",150,9,8,20,0,0,0,0,0,0,0,0,0
,,< 30 Days,,63,51,9,1,1,2,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,97,83,11,0,0,5,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,191,162,22,2,2,6,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,261,224,39,0,2,2,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,420,371,46,2,2,5,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,315,304,12,2,1,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,227,226,1,1,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,132,124,10,1,0,0,0,0,0,0,0,0,0,0,0
,Texas,All Time,,"1,704","1,545",150,9,8,20,0,0,0,0,0,0,0,0,0
,,< 30 Days,,63,51,9,1,1,2,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,97,83,11,0,0,5,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,191,162,22,2,2,6,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,261,224,39,0,2,2,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,420,371,46,2,2,5,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,315,304,12,2,1,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,227,226,1,1,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,132,124,10,1,0,0,0,0,0,0,0,0,0,0,0
TXJS-TX1 University of Texas Medical Branch at Galveston,All Center States,All Time,,535,470,60,2,0,11,3,0,0,0,0,0,0,0,0
,,< 30 Days,,17,15,2,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,48,40,8,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,43,42,1,1,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,83,73,8,0,0,2,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,108,92,14,0,0,5,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,106,93,12,0,0,3,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,97,85,12,1,0,1,0,0,0,0,0,0,0,0,0
,,5 or More Years,,36,30,3,0,0,0,3,0,0,0,0,0,0,0,0
,Texas,All Time,,535,470,60,2,0,11,3,0,0,0,0,0,0,0,0
,,< 30 Days,,17,15,2,0,0,0,0,0,0,0,0,0,0,0,0
,,
,,30 to < 90 Days,,48,40,8,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,43,42,1,1,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,83,73,8,0,0,2,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,108,92,14,0,0,5,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,106,93,12,0,0,3,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,97,85,12,1,0,1,0,0,0,0,0,0,0,0,0
,,5 or More Years,,36,30,3,0,0,0,3,0,0,0,0,0,0,0,0
TXLP-TX1 Las Palmas Medical Center,All Center States,All Time,,197,197,0,0,0,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,71,71,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,41,41,0,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
,Texas,All Time,,197,197,0,0,0,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,71,71,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,41,41,0,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
TXMC-TX1 Methodist Dallas Medical Center,All Center States,All Time,,568,494,70,1,7,0,0,0,0,0,1,0,0,0,0
,,< 30 Days,,25,15,11,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,16,14,2,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,61,50,9,0,2,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,92,77,17,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,182,161,18,1,4,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,93,85,7,0,0,0,0,0,0,0,1,0,0,0,0
,,3 Years to < 5 Years,,79,74,4,0,1,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,20,18,2,0,0,0,0,0,0,0,0,0,0,0,0
,Texas,All Time,,568,494,70,1,7,0,0,0,0,0,1,0,0,0,0
,,< 30 Days,,25,15,11,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,16,14,2,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,61,50,9,0,2,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,92,77,17,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,182,161,18,1,4,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,93,85,7,0,0,0,0,0,0,0,1,0,0,0,0
,,
,,3 Years to < 5 Years,,79,74,4,0,1,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,20,18,2,0,0,0,0,0,0,0,0,0,0,0,0
TXMH-TX1 Houston Methodist Hospital,All Center States,All Time,,"1,766","1,359",370,10,28,63,19,3,0,0,0,0,0,0,0
,,< 30 Days,,59,28,23,0,1,7,6,2,0,0,0,0,0,0,0
,,30 to < 90 Days,,80,43,32,0,2,6,4,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,154,100,51,0,3,5,4,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,208,131,72,1,8,7,3,1,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,367,291,71,2,4,12,1,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,313,264,39,3,2,9,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,342,289,46,3,3,10,0,0,0,0,0,0,0,0,0
,,5 or More Years,,255,213,36,1,5,7,1,0,0,0,0,0,0,0,0
,Texas,All Time,,"1,766","1,359",370,10,28,63,19,3,0,0,0,0,0,0,0
,,< 30 Days,,59,28,23,0,1,7,6,2,0,0,0,0,0,0,0
,,30 to < 90 Days,,80,43,32,0,2,6,4,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,154,100,51,0,3,5,4,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,208,131,72,1,8,7,3,1,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,367,291,71,2,4,12,1,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,313,264,39,3,2,9,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,342,289,46,3,3,10,0,0,0,0,0,0,0,0,0
,,5 or More Years,,255,213,36,1,5,7,1,0,0,0,0,0,0,0,0
TXPL-TX1 Medical City Fort Worth,All Center States,All Time,,146,145,0,0,4,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,42,42,0,0,2,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,40,39,0,0,2,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
,Texas,All Time,,146,145,0,0,4,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,42,42,0,0,2,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,40,39,0,0,2,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
TXPM-TX1 Parkland Health and Hospital System,All Center States,All Time,,155,155,0,0,0,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0
,,
,,1 Year to < 2 Years,,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0
,Texas,All Time,,155,155,0,0,0,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0
TXRM-TX1 Christus Santa Rosa Hospital Medical Center,All Center States,All Time,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,Texas,All Time,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TXSP-TX1 UT Southwestern Medical Center/William P. Clements Jr. University Hospital,All Center States,All Time,,733,553,134,0,0,48,20,4,0,0,0,0,0,0,0
,,< 30 Days,,38,24,10,0,0,3,4,1,0,0,0,0,0,0,0
,,30 to < 90 Days,,72,46,21,0,0,5,4,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,76,48,22,0,0,4,2,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,119,90,25,0,0,7,1,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,243,198,29,0,0,17,7,3,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,97,81,9,0,0,7,1,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,61,49,8,0,0,3,1,0,0,0,0,0,0,0,0
,,5 or More Years,,29,17,10,0,0,2,0,0,0,0,0,0,0,0,0
,Texas,All Time,,733,553,134,0,0,48,20,4,0,0,0,0,0,0,0
,,< 30 Days,,38,24,10,0,0,3,4,1,0,0,0,0,0,0,0
,,30 to < 90 Days,,72,46,21,0,0,5,4,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,76,48,22,0,0,4,2,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,119,90,25,0,0,7,1,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,243,198,29,0,0,17,7,3,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,97,81,9,0,0,7,1,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,61,49,8,0,0,3,1,0,0,0,0,0,0,0,0
,,5 or More Years,,29,17,10,0,0,2,0,0,0,0,0,0,0,0,0
TXSW-TX1 Scott and White Memorial Hospital,All Center States,All Time,,221,207,0,5,6,5,0,0,0,0,0,0,0,0,0
,,< 30 Days,,13,10,0,1,2,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,29,24,0,2,2,1,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,36,34,0,1,1,1,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,53,52,0,0,0,1,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,49,47,0,1,0,1,0,0,0,0,0,0,0,0,0
,,
,,2 Years to < 3 Years,,24,23,0,0,0,1,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,13,13,0,0,1,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
,Texas,All Time,,221,207,0,5,6,5,0,0,0,0,0,0,0,0,0
,,< 30 Days,,13,10,0,1,2,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,29,24,0,2,2,1,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,36,34,0,1,1,1,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,53,52,0,0,0,1,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,49,47,0,1,0,1,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,24,23,0,0,0,1,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,13,13,0,0,1,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
TXTC-TX1 Texas Children's Hospital,All Center States,All Time,,119,52,21,0,0,46,2,0,0,0,0,0,0,0,0
,,< 30 Days,,16,8,2,0,0,4,2,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,15,6,7,0,0,2,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,15,6,2,0,0,7,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,20,8,3,0,0,9,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,18,9,3,0,0,7,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,15,7,2,0,0,6,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,9,2,0,0,0,7,0,0,0,0,0,0,0,0,0
,,5 or More Years,,12,6,2,0,0,4,0,0,0,0,0,0,0,0,0
,Texas,All Time,,119,52,21,0,0,46,2,0,0,0,0,0,0,0,0
,,< 30 Days,,16,8,2,0,0,4,2,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,15,6,7,0,0,2,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,15,6,2,0,0,7,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,20,8,3,0,0,9,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,18,9,3,0,0,7,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,15,7,2,0,0,6,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,9,2,0,0,0,7,0,0,0,0,0,0,0,0,0
,,5 or More Years,,12,6,2,0,0,4,0,0,0,0,0,0,0,0,0
TXTX-TX1 Baylor University Medical Center,All Center States,All Time,,"1,102","1,002",52,1,14,27,15,0,0,0,0,0,0,0,0
,,< 30 Days,,61,42,12,0,2,6,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,76,61,11,0,0,6,1,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,146,128,9,0,3,3,4,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,103,85,9,0,3,3,3,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,281,264,5,1,5,5,4,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,174,167,1,0,0,3,3,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,152,150,1,0,0,1,0,0,0,0,0,0,0,0,0
,,5 or More Years,,109,105,4,0,1,0,0,0,0,0,0,0,0,0,0
,Texas,All Time,,"1,102","1,002",52,1,14,27,15,0,0,0,0,0,0,0,0
,,< 30 Days,,61,42,12,0,2,6,0,0,0,0,0,0,0,0,0
,,
,,30 to < 90 Days,,76,61,11,0,0,6,1,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,146,128,9,0,3,3,4,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,103,85,9,0,3,3,3,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,281,264,5,1,5,5,4,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,174,167,1,0,0,3,3,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,152,150,1,0,0,1,0,0,0,0,0,0,0,0,0
,,5 or More Years,,109,105,4,0,1,0,0,0,0,0,0,0,0,0,0
TXTY-TX1 East Texas Medical Center,All Center States,All Time,,129,129,0,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,54,54,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0
,Texas,All Time,,129,129,0,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,54,54,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0
TXUC-TX1 University Children’s Health,All Center States,All Time,,14,12,2,0,0,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
,Texas,All Time,,14,12,2,0,0,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
TXVA-TX1 Michael E. DeBakey VA Medical Center,All Center States,All Time,,396,362,37,0,0,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,21,20,1,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,27,23,4,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,30,26,4,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,119,109,11,0,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,87,78,10,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,83,76,7,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0
,Texas,All Time,,396,362,37,0,0,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,21,20,1,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,27,23,4,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,30,26,4,0,0,0,0,0,0,0,0,0,0,0,0
,,
,,1 Year to < 2 Years,,119,109,11,0,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,87,78,10,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,83,76,7,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0
TXWH-TX1 Wilford Hall Medical Center,All Center States,All Time,,3,2,0,0,3,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,3,2,0,0,3,0,0,0,0,0,0,0,0,0,0
,Texas,All Time,,3,2,0,0,3,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,3,2,0,0,3,0,0,0,0,0,0,0,0,0,0
UTLD-TX1 Intermountain Medical Center,All Center States,All Time,,425,303,102,0,7,18,0,0,0,0,0,0,0,0,0
,,< 30 Days,,24,14,8,0,1,2,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,35,23,11,0,1,1,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,58,40,19,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,109,85,22,0,2,1,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,110,83,19,0,2,6,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,41,29,9,0,1,3,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,31,20,7,0,0,4,0,0,0,0,0,0,0,0,0
,,5 or More Years,,17,9,7,0,0,1,0,0,0,0,0,0,0,0,0
,Utah,All Time,,425,303,102,0,7,18,0,0,0,0,0,0,0,0,0
,,< 30 Days,,24,14,8,0,1,2,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,35,23,11,0,1,1,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,58,40,19,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,109,85,22,0,2,1,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,110,83,19,0,2,6,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,41,29,9,0,1,3,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,31,20,7,0,0,4,0,0,0,0,0,0,0,0,0
,,5 or More Years,,17,9,7,0,0,1,0,0,0,0,0,0,0,0,0
UTMC-TX1 University of Utah Medical Center,All Center States,All Time,,334,238,59,2,4,32,2,0,0,0,0,0,0,0,0
,,< 30 Days,,30,23,3,0,1,1,2,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,30,20,5,1,0,5,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,34,29,3,0,1,1,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,43,24,11,0,1,8,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,81,60,17,0,1,3,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,52,39,6,0,0,7,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,49,35,8,0,0,6,0,0,0,0,0,0,0,0,0
,,5 or More Years,,16,8,6,1,0,1,0,0,0,0,0,0,0,0,0
,Utah,All Time,,334,238,59,2,4,32,2,0,0,0,0,0,0,0,0
,,< 30 Days,,30,23,3,0,1,1,2,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,30,20,5,1,0,5,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,34,29,3,0,1,1,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,43,24,11,0,1,8,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,81,60,17,0,1,3,0,0,0,0,0,0,0,0,0
,,
,,2 Years to < 3 Years,,52,39,6,0,0,7,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,49,35,8,0,0,6,0,0,0,0,0,0,0,0,0
,,5 or More Years,,16,8,6,1,0,1,0,0,0,0,0,0,0,0,0
UTPC-TX1 Primary Children's Hospital,All Center States,All Time,,31,15,7,0,0,9,0,0,0,0,0,0,0,0,0
,,< 30 Days,,6,5,0,0,0,1,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,7,5,1,0,0,1,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,4,1,1,0,0,2,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,6,2,1,0,0,3,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,4,0,3,0,0,1,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,Utah,All Time,,31,15,7,0,0,9,0,0,0,0,0,0,0,0,0
,,< 30 Days,,6,5,0,0,0,1,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,7,5,1,0,0,1,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,4,1,1,0,0,2,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,6,2,1,0,0,3,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,4,0,3,0,0,1,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
VACH-TX1 Children's Hospital of the King's Daughters,All Center States,All Time,,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
